2022/10/23 20:20:09 [emerg] 11084#9544: host not found in upstream "api" in C:\Users\Lenovo\Desktop\nginx-1.23.2/conf/nginx.conf:26
2022/10/23 20:20:11 [alert] 5360#5632: worker process 11084 exited with code 1
2022/10/23 20:20:11 [alert] 5360#5632: could not respawn worker
2022/10/23 20:20:19 [emerg] 9784#1732: host not found in upstream "api" in C:\Users\Lenovo\Desktop\nginx-1.23.2/conf/nginx.conf:26
2022/10/23 20:21:24 [emerg] 15264#2680: host not found in upstream "api" in C:\Users\Lenovo\Desktop\nginx-1.23.2/conf/nginx.conf:26
2022/10/23 20:21:45 [emerg] 7692#14732: "http" directive is duplicate in C:\Users\Lenovo\Desktop\nginx-1.23.2/conf/nginx.conf:31
2022/10/23 20:22:11 [emerg] 13060#12204: invalid number of arguments in "default_type" directive in C:\Users\Lenovo\Desktop\nginx-1.23.2/conf/nginx.conf:20
2022/10/23 21:23:08 [error] 2216#14688: *14 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while proxying upgraded connection, client: 192.168.1.2, server: api, request: "GET /socket.io/?EIO=4&transport=websocket&sid=ml3CCCWxNLeGBqFUAATJ HTTP/1.1", upstream: "http://192.168.1.12:3001/socket.io/?EIO=4&transport=websocket&sid=ml3CCCWxNLeGBqFUAATJ", host: "192.168.1.12:3000"
2022/10/23 21:23:08 [error] 2216#14688: *7 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while proxying upgraded connection, client: 192.168.1.2, server: api, request: "GET /socket.io/?EIO=4&transport=websocket&sid=ZRQwXCb56kW6G49RAATI HTTP/1.1", upstream: "http://192.168.1.12:3001/socket.io/?EIO=4&transport=websocket&sid=ZRQwXCb56kW6G49RAATI", host: "192.168.1.12:3000"
2022/10/23 21:23:08 [error] 2216#14688: *107 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while proxying upgraded connection, client: 192.168.1.12, server: api, request: "GET /socket.io/?EIO=4&transport=websocket&sid=4K4jq_hXvj5rRZSUAATj HTTP/1.1", upstream: "http://192.168.1.12:3001/socket.io/?EIO=4&transport=websocket&sid=4K4jq_hXvj5rRZSUAATj", host: "192.168.1.12:3000"
2022/10/23 21:23:08 [error] 2216#14688: *101 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while proxying upgraded connection, client: 192.168.1.12, server: api, request: "GET /socket.io/?EIO=4&transport=websocket&sid=MGJ-JRGTcnZ6tBLTAATi HTTP/1.1", upstream: "http://192.168.1.12:3001/socket.io/?EIO=4&transport=websocket&sid=MGJ-JRGTcnZ6tBLTAATi", host: "192.168.1.12:3000"
2022/10/23 21:24:47 [error] 2216#14688: *187 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while proxying upgraded connection, client: 192.168.1.2, server: api, request: "GET /socket.io/?EIO=4&transport=websocket&sid=-lAiK_zHw3AxvaEWAAAV HTTP/1.1", upstream: "http://192.168.1.12:3001/socket.io/?EIO=4&transport=websocket&sid=-lAiK_zHw3AxvaEWAAAV", host: "192.168.1.12:3000"
2022/10/23 21:24:47 [error] 2216#14688: *145 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while proxying upgraded connection, client: 192.168.1.12, server: api, request: "GET /socket.io/?EIO=4&transport=websocket&sid=4NGJx5stH7--xf7kAAAJ HTTP/1.1", upstream: "http://192.168.1.12:3001/socket.io/?EIO=4&transport=websocket&sid=4NGJx5stH7--xf7kAAAJ", host: "192.168.1.12:3000"
2022/10/23 21:24:47 [error] 2216#14688: *137 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while proxying upgraded connection, client: 192.168.1.12, server: api, request: "GET /socket.io/?EIO=4&transport=websocket&sid=QymUNjA7d5KntkIzAAAI HTTP/1.1", upstream: "http://192.168.1.12:3001/socket.io/?EIO=4&transport=websocket&sid=QymUNjA7d5KntkIzAAAI", host: "192.168.1.12:3000"
2022/10/23 21:24:47 [error] 2216#14688: *183 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while proxying upgraded connection, client: 192.168.1.2, server: api, request: "GET /socket.io/?EIO=4&transport=websocket&sid=bUDeQiKlEJOzqHErAAAU HTTP/1.1", upstream: "http://192.168.1.12:3001/socket.io/?EIO=4&transport=websocket&sid=bUDeQiKlEJOzqHErAAAU", host: "192.168.1.12:3000"
2022/10/23 21:24:51 [error] 2216#14688: *142 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.12, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5EsKb HTTP/1.1", upstream: "http://192.168.1.12:3001/socket.io/?EIO=4&transport=polling&t=OG5EsKb", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:51 [error] 2216#14688: *204 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.12, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5EsKc HTTP/1.1", upstream: "http://192.168.1.12:3001/socket.io/?EIO=4&transport=polling&t=OG5EsKc", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:51 [error] 2216#14688: *157 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.2, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5ErxE HTTP/1.1", upstream: "http://192.168.1.12:3001/socket.io/?EIO=4&transport=polling&t=OG5ErxE", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:51 [error] 2216#14688: *4 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.2, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5Erx7 HTTP/1.1", upstream: "http://192.168.1.12:3001/socket.io/?EIO=4&transport=polling&t=OG5Erx7", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:53 [error] 2216#14688: *204 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.12, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5EsKc HTTP/1.1", upstream: "http://192.168.1.12:3002/socket.io/?EIO=4&transport=polling&t=OG5EsKc", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:53 [error] 2216#14688: *142 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.12, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5EsKb HTTP/1.1", upstream: "http://192.168.1.12:3002/socket.io/?EIO=4&transport=polling&t=OG5EsKb", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:53 [error] 2216#14688: *4 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.2, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5Erx7 HTTP/1.1", upstream: "http://192.168.1.12:3002/socket.io/?EIO=4&transport=polling&t=OG5Erx7", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:53 [error] 2216#14688: *157 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.2, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5ErxE HTTP/1.1", upstream: "http://192.168.1.12:3002/socket.io/?EIO=4&transport=polling&t=OG5ErxE", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:55 [error] 2216#14688: *142 no live upstreams while connecting to upstream, client: 192.168.1.12, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5EtoD HTTP/1.1", upstream: "http://api_socket/socket.io/?EIO=4&transport=polling&t=OG5EtoD", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:55 [error] 2216#14688: *157 no live upstreams while connecting to upstream, client: 192.168.1.2, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5EtOp HTTP/1.1", upstream: "http://api_socket/socket.io/?EIO=4&transport=polling&t=OG5EtOp", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:56 [error] 2216#14688: *142 no live upstreams while connecting to upstream, client: 192.168.1.12, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5Eu1n HTTP/1.1", upstream: "http://api_socket/socket.io/?EIO=4&transport=polling&t=OG5Eu1n", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:56 [error] 2216#14688: *157 no live upstreams while connecting to upstream, client: 192.168.1.2, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5EteR HTTP/1.1", upstream: "http://api_socket/socket.io/?EIO=4&transport=polling&t=OG5EteR", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:59 [error] 2216#14688: *142 no live upstreams while connecting to upstream, client: 192.168.1.12, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5Eumk HTTP/1.1", upstream: "http://api_socket/socket.io/?EIO=4&transport=polling&t=OG5Eumk", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:59 [error] 2216#14688: *157 no live upstreams while connecting to upstream, client: 192.168.1.2, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5EuNJ HTTP/1.1", upstream: "http://api_socket/socket.io/?EIO=4&transport=polling&t=OG5EuNJ", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:24:59 [error] 2216#14688: *4 no live upstreams while connecting to upstream, client: 192.168.1.2, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5EuNO HTTP/1.1", upstream: "http://api_socket/socket.io/?EIO=4&transport=polling&t=OG5EuNO", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
2022/10/23 21:25:00 [error] 2216#14688: *142 no live upstreams while connecting to upstream, client: 192.168.1.12, server: api, request: "GET /socket.io/?EIO=4&transport=polling&t=OG5Ev0K HTTP/1.1", upstream: "http://api_socket/socket.io/?EIO=4&transport=polling&t=OG5Ev0K", host: "192.168.1.12:3000", referrer: "http://192.168.1.12/"
